Name,Treble,Author,Date,Website,Folder,Download link,XDA link,Telegram link,4PDA post link
havoc,No,Sonal Singh / Sksbss,2018-09-16,sourceforge.net/projects/havoc-os,sourceforge.net/projects/havoc-os/files/santoni,download.sourceforge.net/havoc-os/Havoc-OS-20180916-santoni-Final.zip,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3807634,t.me/havocofficial,4pda.ru/forum/index.php?act=findpost&pid=74439308
lite,No,Sonal Singh / Sksbss,2018-09-07,sourceforge.net/projects/lite-os,sourceforge.net/projects/lite-os/files/santoni,download.sourceforge.net/lite-os/LiteOS-8.1.0-20180907-santoni-OFFICIAL-OREO.zip,,,4pda.ru/forum/index.php?act=findpost&pid=75853582
lluvia,No,jyotiradityaJP,2018-09-01,,,androidfilehost.com/?fid=1322778262903995241,,,4pda.ru/forum/index.php?act=findpost&pid=75359712
Liquid,No,Abhiraj Singh,2018-08-11,,,androidfilehost.com/?fid=3700668719832238852,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3770102,t.me/LiquidRemixChat,4pda.ru/forum/index.php?act=findpost&pid=70235611
Lineage,Yes,Issac Chen / Tingyi Chen,2019-07-26,lineageos.org,,uloz.to/file/m4QzEt9Vf7r7,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3653016,,4pda.ru/forum/index.php?act=findpost&pid=65671190
Miracle,No,jyotiradityaJP,2018-07-18,sourceforge.net/projects/miracledroid,sourceforge.net/projects/miracledroid/files/santoni,download.sourceforge.net/miracledroid/mdroid-1.0-OFFICIAL-santoni-20180718.zip,,,4pda.ru/forum/index.php?act=findpost&pid=75209837
Miracle,No,Prakash Singh,2018-08-29,,,androidfilehost.com/?fid=1322778262903993093,,,4pda.ru/forum/index.php?act=findpost&pid=76584702
MSM Xtended,No,ronAk47,2018-07-22,sourceforge.net/projects/xtended,sourceforge.net/projects/xtended/files/santoni,download.sourceforge.net/xtended/Xtended-ROM-santoni-x9.5-OFFICIAL-20180722.zip,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3819662,,4pda.ru/forum/index.php?act=findpost&pid=75328842
Mokee,Yes,Tingyi Chen,2020-01-16,mokeedev.com,download.mokeedev.com/santoni/release.html,download.mokeedev.com/santoni/file/MK81.0-santoni-200126-RELEASE.zip/download,,t.me/mokeecommunity,4pda.ru/forum/index.php?act=findpost&pid=65680907
Maru,Yes,silent27,2019-03-22,,drive.google.com/drive/folders/1VHGtQQmikwCMhvxQfS0_iLrpfQ3GBIiV,drive.google.com/uc?id=1Qwce2Jxv4HaJ-osnTr4nU0XtVZc0nKlr&export=download,,,4pda.ru/forum/index.php?act=findpost&pid=83628954
Nitrogen,No,Sonal Singh,2018-08-29,,,androidfilehost.com/?fid=1322778262903993160,,,4pda.ru/forum/index.php?act=findpost&pid=76515943
Nitrogen,No,nikesh001,2018-06-11,sourceforge.net/projects/nitrogen-project,sourceforge.net/projects/nitrogen-project/files/santoni/Oreo,download.sourceforge.net/nitrogen-project/Nitrogen-OS-O-santoni-20180611.zip,,,4pda.ru/forum/index.php?act=findpost&pid=69263436
Omni,No,ps217,2018-08-16,,,androidfilehost.com/?fid=1322778262903981500,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3830403,t.me/r4xofficial,4pda.ru/forum/index.php?act=findpost&pid=76111050
Omni Dragon,No,vvreddy,2018-11-24,,,androidfilehost.com/?fid=11410963190603857006,,,4pda.ru/forum/index.php?act=findpost&pid=79090457
Pixel Experience,No,silent27,2018-07-30,,drive.google.com/drive/folders/1ABdGLOqdt6AKAhc1fKJl0G-3VWjPtWRk,drive.google.com/uc?id=1iu2e66V0o-mxd3vmQwjNOySq9h_ETuse&export=download,,,4pda.ru/forum/index.php?act=findpost&pid=72966200
Pixel Experience,Yes,silent27,2018-08-31,,drive.google.com/drive/folders/1VVFKgDQ5YtlxkBpMLnMmWiTn_cbfkk_j,drive.google.com/uc?id=16J6VoE0CmG2I6UiwBzU0CzjNqxiOM_oi&export=download,,,4pda.ru/forum/index.php?act=findpost&pid=74021906
Pixel Experience,No,herH2,2018-11-07,,,androidfilehost.com/?fid=11410963190603841861,,,4pda.ru/forum/index.php?act=findpost&pid=77868708
Pixel Experience,No,Prakash Singh,2018-09-16,,,androidfilehost.com/?fid=1322778262904007390,,,4pda.ru/forum/index.php?act=findpost&pid=77279048
Resurrection Remix,,Freak,2019-01-27,luis-builds.de,luis-builds.de/downloads/lineageos/rr/Xiaomi_Redmi_4X_(santoni),luis-builds.de/downloads/lineageos/rr/Xiaomi_Redmi_4X_(santoni)/RR-O-v6.2.1-20190127-santoni-Unofficial-LuisROM.zip,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3783793,t.me/rr_luisrom,4pda.ru/forum/index.php?act=findpost&pid=67393773
Resurrection Remix,No,noticemeesenpai,2018-09-11,,,drive.google.com/uc?id=1v6EFKGF9ZtpTR2UtcWuz9mZIW_ZdjzLk&export=download,,,4pda.ru/forum/index.php?act=findpost&pid=77279361
Resurrection Remix,No,Wajid Khan,2018-08-18,,,androidfilehost.com/?fid=1322778262903983646,,,4pda.ru/forum/index.php?act=findpost&pid=74766038
Resurrection Remix,Yes,Wajid Khan,2018-07-01,,,androidfilehost.com/?fid=11050483647474831874,,,4pda.ru/forum/index.php?act=findpost&pid=74766038
Resurrection Remix,No,sankarVip,2018-12-10,sourceforge.net/projects/rr-sankar,sourceforge.net/projects/rr-sankar/files,download.sourceforge.net/rr-sankar/RR-O-v6.2.1-20181210-santoni-Unofficial.zip,,,4pda.ru/forum/index.php?act=findpost&pid=79992638
Screw'd,No,Abhiraj Singh,2018-08-19,,,androidfilehost.com/?fid=1322778262903984796,,,4pda.ru/forum/index.php?act=findpost&pid=71775727
Toxyc,Yes,Swapnil Soni,2018-08-19,sourceforge.net/projects/toxycos,sourceforge.net/projects/toxycos/files/santoni,download.sourceforge.net/toxycos/toxyc-santoni-20180819-v3.1-OFFICIAL.zip,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3830875,,4pda.ru/forum/index.php?act=findpost&pid=74158801
Tipsy,No,TioBurla,2018-10-29,,,drive.google.com/uc?id=15gdq4Xp2l7JC8wO4dEQq1sBXrTczWN9o&export=download,,,4pda.ru/forum/index.php?act=findpost&pid=78468918
Validus,No,Team Ghost,2018-09-04,,,drive.google.com/uc?id=1LNWCr-TpgmGuwPaoOte2VwP-zq9qlrvD&export=download,,,4pda.ru/forum/index.php?act=findpost&pid=77461924
Viper,Yes,Bikram_M,2019-04-13,sourceforge.net/projects/viper-project,sourceforge.net/projects/viper-project/files/santoni,download.sourceforge.net/viper-project/Viper-santoni-20190413-v5.2-OFFICIAL.zip,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3871523,,4pda.ru/forum/index.php?act=findpost&pid=79411828
XPerience,,pyshydv,2018-07-13,sourceforge.net/projects/xperience-aosp,sourceforge.net/projects/xperience-aosp/files/santoni/12/nightly,download.sourceforge.net/xperience-aosp/xperience-12.1.0-20180713-NIGHTLY-santoni.zip,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3710073,,4pda.ru/forum/index.php?act=findpost&pid=67515470
