Name,Treble,Author,Date,Website,Download link,XDA link,Telegram link,4PDA post link
POSP,No,Aman Dwivedi,2019-09-15,sourceforge.net/projects/aman-builds,download.sourceforge.net/aman-builds/potato_santoni-9-20190915.CHIPS-v2.3.COMMUNITY.zip,,,4pda.ru/forum/index.php?act=findpost&pid=89105845
Paranoid,No,Ryan Andri (rainforce279),2019-06-06,,drive.google.com/uc?export=download&id=1GtG49ZyQFEtjUFZumAOsNLE9qLGbn_Je,,,4pda.ru/forum/index.php?act=findpost&pid=85908826
Pixel Experience Plus,Yes,Arth Doshi (arthdoshi33),2019-09-17,sourceforge.net/projects/arthdoshi33,download.sourceforge.net/arthdoshi33/PixelExperiencePlus/PixelExperience_Plus_santoni-9.0-20190917-0759-UNOFFICIAL.zip,,,4pda.ru/forum/index.php?act=findpost&pid=95416764
Pixel Experience,No,ErrorNetwork28,2019-07-24,pixelexperience.org,yadi.sk/d/JuKA_teeOoHUtw,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3927729,t.me/PixelExperience,4pda.ru/forum/index.php?act=findpost&pid=85120196
Pixel Experience,No,silent27,2019-12-20,,mega.nz/folder/INZgnAZI#9fuWhfCuazOO5YPBjxGlmA/file/dRgTQCpD,,,4pda.ru/forum/index.php?act=findpost&pid=88394273
Pixel Experience,Yes,deomani007 & Arth Doshi (arthdoshi33),2019-09-28,sourceforge.net/projects/arthdoshi33,download.sourceforge.net/arthdoshi33/PixelExperience/PixelExperience_santoni-9.0-20190928-0708-FINAL.zip,forum.xda-developers.com/xiaomi-redmi-4x/how-to/-t3973197,,4pda.ru/forum/index.php?act=findpost&pid=89266469
Ressurection Remix,No,freak,2020-02-13,luis-builds.de,www.luis-builds.de/downloads/lineageos/rr/Xiaomi_Redmi_4X_(santoni)/RR-P-v7.0.2-20200213-santoni-Unofficial-LuisROM.zip,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3912521,t.me/rr_luisrom,4pda.ru/forum/index.php?act=findpost&pid=67393773
Revenge OS,No,Arth Doshi (arthdoshi33),2019-11-16,sourceforge.net/projects/arthdoshi33,download.sourceforge.net/arthdoshi33/RevengeOS-2.7-Pasta-OFFICIAL-santoni-20191116-0514.zip,,,4pda.ru/forum/index.php?act=findpost&pid=90036758
Revenge OS,No,noticemesenpai (Tauseef),2019-11-16,osdn.net/projects/revengeos,osdn.net/projects/revengeos/storage/santoni/RevengeOS-2.7-Pasta-OFFICIAL-santoni-20191116-0514.zip,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3903887,t.me/itsrevengeos,4pda.ru/forum/index.php?act=findpost&pid=78374970
Rebellion OS,No,semizumi16,2019-07-24,sourceforge.net/projects/nangis,download.sourceforge.net/nangis/RebellionOS_P-v1.6-Neptune-santoni-20190724-UNOFFICIAL.zip,,,4pda.ru/forum/index.php?act=findpost&pid=87340494
Superior OS,No,bikram_m,2020-07-26,sourceforge.net/projects/superioros,download.sourceforge.net/superioros/SuperiorOS-Phoenix-santoni-OFFICIAL-20200726-0441.zip,forum.xda-developers.com/xiaomi-redmi-4x/development/-t3945886,t.me/superioros,4pda.ru/forum/index.php?act=findpost&pid=89105822
Syberia,No,bagaskara,2019-09-08,sourceforge.net/projects/nangis,download.sourceforge.net/nangis/syberia_santoni-v2.9-20190908-0446-UNOFFICIAL.zip,,,4pda.ru/forum/index.php?act=findpost&pid=89108804
Stag OS,Yes,Arth Doshi (arthdoshi33),2019-09-27,sourceforge.net/projects/arthdoshi33,download.sourceforge.net/arthdoshi33/StagOS-santoni-9.0-UNOFFICIAL-20190927-0914.zip,,,4pda.ru/forum/index.php?act=findpost&pid=89280350
Validus,No,twsunset,2020-01-06,,drive.google.com/uc?export=download&id=1c_E9SpSw1lRL96Aytyjc9PWrg63ejxpC,,,4pda.ru/forum/index.php?act=findpost&pid=83984050
